DATE_ID,DATE_ACTUAL,YEAR,MONTH,DAY,DAY_NAME,MONTH_NAME,WEEK_OF_YEAR
20170811,2017-08-11,2017,8,11,Fri,Aug,32
20170812,2017-08-12,2017,8,12,Sat,Aug,32
20150512,2015-05-12,2015,5,12,Tue,May,20
20170406,2017-04-06,2017,4,6,Thu,Apr,14
20180912,2018-09-12,2018,9,12,Wed,Sep,37
20160309,2016-03-09,2016,3,9,Wed,Mar,10
20170504,2017-05-04,2017,5,4,Thu,May,18
20180911,2018-09-11,2018,9,11,Tue,Sep,37
20170609,2017-06-09,2017,6,9,Fri,Jun,23
20170112,2017-01-12,2017,1,12,Thu,Jan,2
20170311,2017-03-11,2017,3,11,Sat,Mar,10
20160203,2016-02-03,2016,2,3,Wed,Feb,5
20160504,2016-05-04,2016,5,4,Wed,May,18
20160709,2016-07-09,2016,7,9,Sat,Jul,27
20170711,2017-07-11,2017,7,11,Tue,Jul,28
20150809,2015-08-09,2015,8,9,Sun,Aug,32
20150308,2015-03-08,2015,3,8,Sun,Mar,10
20180112,2018-01-12,2018,1,12,Fri,Jan,2
20160201,2016-02-01,2016,2,1,Mon,Feb,5
20180704,2018-07-04,2018,7,4,Wed,Jul,27
20180806,2018-08-06,2018,8,6,Mon,Aug,32
20160211,2016-02-11,2016,2,11,Thu,Feb,6
20160109,2016-01-09,2016,1,9,Sat,Jan,1
20180803,2018-08-03,2018,8,3,Fri,Aug,31
20150706,2015-07-06,2015,7,6,Mon,Jul,28
20180110,2018-01-10,2018,1,10,Wed,Jan,2
20150911,2015-09-11,2015,9,11,Fri,Sep,37
20180709,2018-07-09,2018,7,9,Mon,Jul,28
20160712,2016-07-12,2016,7,12,Tue,Jul,28
20181109,2018-11-09,2018,11,9,Fri,Nov,45
20160307,2016-03-07,2016,3,7,Mon,Mar,10
20150212,2015-02-12,2015,2,12,Thu,Feb,7
20180210,2018-02-10,2018,2,10,Sat,Feb,6
20170704,2017-07-04,2017,7,4,Tue,Jul,27
20170804,2017-08-04,2017,8,4,Fri,Aug,31
20171105,2017-11-05,2017,11,5,Sun,Nov,44
20180306,2018-03-06,2018,3,6,Tue,Mar,10
20160405,2016-04-05,2016,4,5,Tue,Apr,14
20150411,2015-04-11,2015,4,11,Sat,Apr,15
20180807,2018-08-07,2018,8,7,Tue,Aug,32
20170606,2017-06-06,2017,6,6,Tue,Jun,23
20170104,2017-01-04,2017,1,4,Wed,Jan,1
20180309,2018-03-09,2018,3,9,Fri,Mar,10
20160410,2016-04-10,2016,4,10,Sun,Apr,14
20180209,2018-02-09,2018,2,9,Fri,Feb,6
20150206,2015-02-06,2015,2,6,Fri,Feb,6
20180101,2018-01-01,2018,1,1,Mon,Jan,1
20171011,2017-10-11,2017,10,11,Wed,Oct,41
20150507,2015-05-07,2015,5,7,Thu,May,19
20160310,2016-03-10,2016,3,10,Thu,Mar,10
20170310,2017-03-10,2017,3,10,Fri,Mar,10
20170309,2017-03-09,2017,3,9,Thu,Mar,10
20180304,2018-03-04,2018,3,4,Sun,Mar,9
20180904,2018-09-04,2018,9,4,Tue,Sep,36
20180701,2018-07-01,2018,7,1,Sun,Jul,26
20170110,2017-01-10,2017,1,10,Tue,Jan,2
20171208,2017-12-08,2017,12,8,Fri,Dec,49
20160407,2016-04-07,2016,4,7,Thu,Apr,14
20160612,2016-06-12,2016,6,12,Sun,Jun,23
20170209,2017-02-09,2017,2,9,Thu,Feb,6
20180508,2018-05-08,2018,5,8,Tue,May,19
20160902,2016-09-02,2016,9,2,Fri,Sep,35
20181211,2018-12-11,2018,12,11,Tue,Dec,50
20170210,2017-02-10,2017,2,10,Fri,Feb,6
20170512,2017-05-12,2017,5,12,Fri,May,19
20180511,2018-05-11,2018,5,11,Fri,May,19
20170611,2017-06-11,2017,6,11,Sun,Jun,23
20170509,2017-05-09,2017,5,9,Tue,May,19
20160711,2016-07-11,2016,7,11,Mon,Jul,28
20150303,2015-03-03,2015,3,3,Tue,Mar,10
20150401,2015-04-01,2015,4,1,Wed,Apr,14
20150111,2015-01-11,2015,1,11,Sun,Jan,2
20160302,2016-03-02,2016,3,2,Wed,Mar,9
20150604,2015-06-04,2015,6,4,Thu,Jun,23
20180611,2018-06-11,2018,6,11,Mon,Jun,24
20150103,2015-01-03,2015,1,3,Sat,Jan,1
20150508,2015-05-08,2015,5,8,Fri,May,19
20150106,2015-01-06,2015,1,6,Tue,Jan,2
20170809,2017-08-09,2017,8,9,Wed,Aug,32
20180403,2018-04-03,2018,4,3,Tue,Apr,14
20150102,2015-01-02,2015,1,2,Fri,Jan,1
20180712,2018-07-12,2018,7,12,Thu,Jul,28
20170411,2017-04-11,2017,4,11,Tue,Apr,15
20180512,2018-05-12,2018,5,12,Sat,May,19
20180411,2018-04-11,2018,4,11,Wed,Apr,15
20170707,2017-07-07,2017,7,7,Fri,Jul,27
20150702,2015-07-02,2015,7,2,Thu,Jul,27
20170501,2017-05-01,2017,5,1,Mon,May,18
20171004,2017-10-04,2017,10,4,Wed,Oct,40
20170503,2017-05-03,2017,5,3,Wed,May,18
20160510,2016-05-10,2016,5,10,Tue,May,19
20180311,2018-03-11,2018,3,11,Sun,Mar,10
20170703,2017-07-03,2017,7,3,Mon,Jul,27
20160312,2016-03-12,2016,3,12,Sat,Mar,10
20150504,2015-05-04,2015,5,4,Mon,May,19
20180510,2018-05-10,2018,5,10,Thu,May,19
20160611,2016-06-11,2016,6,11,Sat,Jun,23
20160607,2016-06-07,2016,6,7,Tue,Jun,23
20180907,2018-09-07,2018,9,7,Fri,Sep,36
20170103,2017-01-03,2017,1,3,Tue,Jan,1
