LOCATION_ID,CITY,STATE,REGION,COUNTRY,POSTAL_CODE,LATITUDE,LONGITUDE
1301,Burlington,Vermont,East,United States,,,
1401,Cheyenne,Wyoming,West,United States,82001,41.141281,-104.80208
1402,Wheeling,West Virginia,East,United States,26003,40.071472,-80.6868
1403,Appleton,Wisconsin,Central,United States,54915,44.244753,-88.37783
1404,Waukesha,Wisconsin,Central,United States,53186,43.015289,-88.20924
1405,Franklin,Wisconsin,Central,United States,53132,42.896145,-88.00891
1406,Madison,Wisconsin,Central,United States,53711,43.036696,-89.44499
1407,Wausau,Wisconsin,Central,United States,54401,44.958382,-89.6693
1408,Green Bay,Wisconsin,Central,United States,54302,44.505782,-87.97947
1409,Eau Claire,Wisconsin,Central,United States,54703,44.82961,-91.50521
1410,Kenosha,Wisconsin,Central,United States,53142,42.559823,-87.87878
1411,Milwaukee,Wisconsin,Central,United States,53209,43.11941,-87.94727
1412,Olympia,Washington,West,United States,98502,47.071484,-122.97702
1413,Seattle,Washington,West,United States,98105,47.66377,-122.30118
1414,Seattle,Washington,West,United States,98103,47.671346,-122.34166
1415,Seattle,Washington,West,United States,98115,47.68382,-122.30122
1416,Edmonds,Washington,West,United States,98026,47.821568,-122.33651
1417,Redmond,Washington,West,United States,98052,47.677471,-122.12138
1418,Bellingham,Washington,West,United States,98226,48.759079,-122.43597
1419,Des Moines,Washington,West,United States,98198,47.397521,-122.315
1420,Spokane,Washington,West,United States,99207,47.693741,-117.38829
1421,Arlington,Virginia,South,United States,22204,38.860247,-77.09627
1422,Harrisonburg,Virginia,South,United States,22801,38.426786,-78.88153
1423,Salem,Virginia,South,United States,24153,37.288807,-80.07821
1424,Hampton,Virginia,South,United States,23666,37.050946,-76.40711
1425,Bellevue,Washington,West,United States,98006,47.562975,-122.1526
1426,Marysville,Washington,West,United States,98270,48.061269,-122.1588
1427,Charlottesville,Virginia,South,United States,22901,38.072402,-78.50149
1428,Chesapeake,Virginia,South,United States,23320,36.761698,-76.24511
1429,Richmond,Virginia,South,United States,23223,37.544746,-77.40085
1430,Springfield,Virginia,South,United States,22153,38.745164,-77.23535
1431,Alexandria,Virginia,South,United States,22304,38.813013,-77.11667
1432,Virginia Beach,Virginia,South,United States,23464,36.799284,-76.17767
1433,Suffolk,Virginia,South,United States,23434,36.735893,-76.59656
1434,Newport News,Virginia,South,United States,23602,37.115698,-76.5183
1435,Pleasant Grove,Utah,West,United States,84062,40.38584,-111.73333
1436,Salt Lake City,Utah,West,United States,84106,40.706246,-111.85657
1437,Draper,Utah,West,United States,84020,40.514843,-111.87294
1438,El Paso,Texas,Central,United States,79907,31.70831,-106.32749
1439,Odessa,Texas,Central,United States,79762,31.890374,-102.35398
1440,Amarillo,Texas,Central,United States,79109,35.171903,-101.87581
1441,Austin,Texas,Central,United States,78745,30.207559,-97.79575
1442,Fort Worth,Texas,Central,United States,76106,32.798429,-97.354
1443,Dallas,Texas,Central,United States,75217,32.72238,-96.67582
1444,Dallas,Texas,Central,United States,75220,32.867977,-96.86306
1445,Frisco,Texas,Central,United States,75034,33.143792,-96.83938
1446,Plano,Texas,Central,United States,75023,33.054671,-96.73506
1447,Grand Prairie,Texas,Central,United States,75051,32.728982,-97.00428
1448,Carrollton,Texas,Central,United States,75007,33.00542,-96.89773
1449,Dallas,Texas,Central,United States,75081,32.948974,-96.70916
1450,Baytown,Texas,Central,United States,77520,29.74877,-94.94389
1451,Laredo,Texas,Central,United States,78041,27.542244,-99.49233
1452,Texas City,Texas,Central,United States,77590,29.395283,-94.91759
1453,Houston,Texas,Central,United States,77036,29.70053,-95.53514
1454,Knoxville,Tennessee,South,United States,37918,36.046598,-83.92511
1455,Memphis,Tennessee,South,United States,38109,35.050286,-90.07523
1456,Nashville,Tennessee,South,United States,37211,36.079259,-86.72584
1457,Johnson City,Tennessee,South,United States,37604,36.312633,-82.3802
1458,Chattanooga,Tennessee,South,United States,37421,35.028574,-85.15939
1459,Orem,Utah,West,United States,84057,40.311854,-111.70561
1460,Lehi,Utah,West,United States,84043,40.366648,-111.89052
1461,Brownsville,Texas,Central,United States,78521,25.918758,-97.42739
1462,Round Rock,Texas,Central,United States,78664,30.514401,-97.65549
1463,San Antonio,Texas,Central,United States,78207,29.423932,-98.5235
1464,Corpus Christi,Texas,Central,United States,78415,27.727083,-97.4289
1465,Arlington,Texas,Central,United States,76017,32.659277,-97.16435
1466,Mansfield,Texas,Central,United States,76063,32.57701,-97.13485
1467,Haltom City,Texas,Central,United States,76117,32.805379,-97.27036
1468,Garland,Texas,Central,United States,75043,32.854893,-96.60211
1469,Coppell,Texas,Central,United States,75019,32.967341,-96.98656
1470,Irving,Texas,Central,United States,75061,32.826729,-96.9614
1471,The Colony,Texas,Central,United States,75056,33.081421,-96.88957
1472,Cedar Hill,Texas,Central,United States,75104,32.588536,-96.94949
1473,Allen,Texas,Central,United States,75002,33.092846,-96.62447
1474,Richardson,Texas,Central,United States,75080,32.969523,-96.74093
1475,Missouri City,Texas,Central,United States,77489,29.601141,-95.51772
1476,Pasadena,Texas,Central,United States,77506,29.705678,-95.20216
1477,Huntsville,Texas,Central,United States,77340,30.680641,-95.50776
1478,League City,Texas,Central,United States,77573,29.502759,-95.08906
