ROW_ID,ORDER_ID,ORDER_DATE,ORDER_DATE_ID,ORDER_MONTH,SHIP_DATE,CUSTOMER_ID,PRODUCT_ID,LOCATION_ID,SALES
1,CA-2017-152156,2017-08-11,20170811,Aug,2017-11-11,CG-12520,FUR-BO-10001798,45,261.96
2,CA-2017-152156,2017-08-11,20170811,Aug,2017-11-11,CG-12520,FUR-CH-10000454,45,731.94
14,CA-2017-161389,2017-05-12,20170512,May,2017-10-12,IM-15070,OFF-BI-10003656,229,407.98
36,CA-2017-117590,2017-08-12,20170812,Aug,2017-10-12,GH-14485,TEC-PH-10004977,323,1097.54
37,CA-2017-117590,2017-08-12,20170812,Aug,2017-10-12,GH-14485,FUR-FU-10003664,323,190.92
68,CA-2015-106376,2015-05-12,20150512,May,2015-10-12,BS-11590,OFF-AR-10002671,198,1113.02
69,CA-2015-106376,2015-05-12,20150512,May,2015-10-12,BS-11590,TEC-PH-10002726,198,167.97
70,CA-2017-119823,2017-04-06,20170406,Apr,2017-06-06,KD-16270,OFF-PA-10000482,241,75.88
76,US-2018-118038,2018-09-12,20180912,Sep,2018-11-12,KB-16600,OFF-BI-10004182,337,1.25
77,US-2018-118038,2018-09-12,20180912,Sep,2018-11-12,KB-16600,FUR-FU-10000260,337,9.71
78,US-2018-118038,2018-09-12,20180912,Sep,2018-11-12,KB-16600,OFF-ST-10000615,337,27.24
84,CA-2016-149734,2016-03-09,20160309,Mar,2016-08-09,JC-16105,OFF-EN-10000927,427,200.98
89,CA-2017-159695,2017-05-04,20170504,May,2017-10-04,GM-14455,OFF-ST-10003442,338,158.37
96,US-2018-109484,2018-06-11,20180611,Jun,2018-12-11,RB-19705,OFF-BI-10004738,367,5.68
97,CA-2018-161018,2018-09-11,20180911,Sep,2018-11-11,PN-18775,FUR-FU-10000629,399,96.53
99,CA-2017-149223,2017-06-09,20170609,Jun,2017-11-09,ER-13855,OFF-AP-10000358,9,77.88
103,CA-2017-129903,2017-01-12,20170112,Jan,2017-04-12,GZ-14470,OFF-PA-10004040,5,23.92
112,CA-2017-128867,2017-03-11,20170311,Mar,2017-10-11,CL-12565,OFF-AR-10000380,83,75.96
113,CA-2017-128867,2017-03-11,20170311,Mar,2017-10-11,CL-12565,OFF-BI-10003981,83,27.24
118,CA-2016-110457,2016-02-03,20160203,Feb,2016-06-03,DK-13090,FUR-TA-10001768,229,787.53
119,US-2016-136476,2016-05-04,20160504,May,2016-10-04,GG-14650,OFF-BI-10003650,346,157.79
127,US-2018-107272,2018-05-11,20180511,May,2018-12-11,TS-21610,OFF-BI-10003274,199,2.39
128,US-2018-107272,2018-05-11,20180511,May,2018-12-11,TS-21610,OFF-ST-10002974,199,243.99
129,US-2017-125969,2017-06-11,20170611,Jun,2017-10-11,LS-16975,FUR-CH-10001146,182,81.42
130,US-2017-125969,2017-06-11,20170611,Jun,2017-10-11,LS-16975,FUR-FU-10003773,182,238.56
131,US-2018-164147,2018-02-02,20180202,Feb,2018-05-02,DW-13585,TEC-PH-10002293,378,59.97
132,US-2018-164147,2018-02-02,20180202,Feb,2018-05-02,DW-13585,OFF-PA-10002377,378,78.30
133,US-2018-164147,2018-02-02,20180202,Feb,2018-05-02,DW-13585,OFF-FA-10002780,378,21.46
141,CA-2017-110366,2017-05-09,20170509,May,2017-07-09,JD-15895,FUR-FU-10004848,357,82.80
146,CA-2016-110744,2016-07-09,20160709,Jul,2016-12-09,HA-14920,OFF-ST-10003656,168,671.93
148,CA-2017-114489,2017-05-12,20170512,May,2017-09-12,JE-16165,TEC-PH-10000215,226,384.45
149,CA-2017-114489,2017-05-12,20170512,May,2017-09-12,JE-16165,TEC-PH-10001448,226,149.97
150,CA-2017-114489,2017-05-12,20170512,May,2017-09-12,JE-16165,FUR-CH-10000454,226,1951.84
151,CA-2017-114489,2017-05-12,20170512,May,2017-09-12,JE-16165,OFF-BI-10002735,226,171.55
158,CA-2015-104269,2015-01-03,20150103,Jan,2015-06-03,DB-13060,FUR-CH-10004063,230,457.57
161,CA-2017-162733,2017-11-05,20171105,Nov,2017-12-05,TT-21070,OFF-PA-10002751,185,5.98
164,CA-2017-113817,2017-07-11,20170711,Jul,2017-11-11,MJ-17740,OFF-BI-10004002,230,27.68
165,CA-2015-139892,2015-08-09,20150809,Aug,2015-12-09,BM-11140,OFF-AR-10004441,301,9.94
166,CA-2015-139892,2015-08-09,20150809,Aug,2015-12-09,BM-11140,TEC-MA-10000822,301,8159.95
167,CA-2015-139892,2015-08-09,20150809,Aug,2015-12-09,BM-11140,OFF-ST-10000991,301,275.93
168,CA-2015-139892,2015-08-09,20150809,Aug,2015-12-09,BM-11140,FUR-CH-10004287,301,1740.06
169,CA-2015-139892,2015-08-09,20150809,Aug,2015-12-09,BM-11140,OFF-AR-10002656,301,32.06
170,CA-2015-139892,2015-08-09,20150809,Aug,2015-12-09,BM-11140,OFF-AP-10002518,301,177.98
171,CA-2015-139892,2015-08-09,20150809,Aug,2015-12-09,BM-11140,TEC-PH-10003931,301,143.98
172,CA-2015-118962,2015-05-08,20150508,May,2015-09-08,CS-12130,OFF-PA-10000659,182,20.94
173,CA-2015-118962,2015-05-08,20150508,May,2015-09-08,CS-12130,OFF-PA-10001144,182,110.96
